product_name,model,link,ryans_price,brand,picLink,capacity,description
Toshiba 3TB 3.5 Inch SATA 7200RPM Desktop HDD #HDWD130UZSVA,Toshiba HDWD130UZSVA,https://ryanscomputers.com/toshiba-3tb-3-5-inch-sata-7200rpm-desktop-hdd-hdwd130uzsva.html,"7,000

",3TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwd130uzsva.jpg,3TB HDD,"Model - Toshiba HDWD130UZSVA
 Storage (GB) - 3TB HDD
 Type - SATA HDD
 RPM - 7200RPM
 Seek Time (ms) - 4.17ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - HDWD130UZSVA
 Warranty - 2 year"
Western Digital Blue 2TB 2.5 Inch SATA 5400RPM Notebook HDD #WD20SPZX,Western Digital Blue,https://ryanscomputers.com/western-digital-blue-2tb-2-5-inch-sata-5400rpm-notebook-hdd-wd20spzx.html,"7,500

",2TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd20spzx-1.jpg,2TB HDD,"Model - Western Digital Blue
 Storage (GB) - 2TB HDD
 Type - SATA Notebook HDD
 RPM - 5400RPM
 Buffer (MB) - 128MB
 From Factor (Inch) - 2.5 Inch
 Interface - SATA 6Gb/s
 Others - Load/Unload cycle: 600
000
 Dimension: 69.85 x 7.0 x 100.20mm
 Weight: 0.09Kg
 Part No - WD20SPZX
 Warranty - 2 Year"
Western Digital Blue 3TB 3.5 Inch SATA 5400RPM Desktop HDD #WD30EZRZ,Western Digital Blue WD30EZRZ,https://ryanscomputers.com/storage/internal-hdd/western-digital-blue-3tb-3-5-inch-sata-5400rpm-desktop-hdd-wd30ezrz.html,"8,000

",3TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd30ezrz.jpg,3TB,"Model - Western Digital Blue WD30EZRZ
 Storage (GB) - 3TB
 Type - SATA Desktop HDD
 RPM - 5400RPM
 From Factor (Inch) - 3.5""
 Interface - SATA 6.0Gb/s
 Part No - WD30EZRZ
 Warranty - 2 year"
Toshiba 4TB 3.5 Inch SATA 7200RPM Desktop HDD #HDWE140UZSVA,Toshiba HDWE140UZSVA,https://ryanscomputers.com/toshiba-4tb-3-5-inch-sata-7200rpm-desktop-hdd-hdwe140uzsva.html,"9,500

",4TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwe140uzsva.jpg,4TB HDD,"Model - Toshiba HDWE140UZSVA
 Storage (GB) - 4TB HDD
 Type - SATA HDD
 RPM - 7200RPM
 Seek Time (ms) - 4.17ms
 Buffer (MB) - 128MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - HDWE140UZSVA
 Warranty - 2 year"
Seagate Skyhawk 4TB 3.5 Inch SATA 5900RPM Surveillance HDD #ST4000VX007 / ST4000VX000-520,Seagate Skyhawk ST4000VX007 / ST4000VX000-520,https://ryanscomputers.com/storage/internal-hdd/seagate-skyhawk-4tb-3-5-inch-sata-5900rpm-surveillance-hdd-st4000vx007-st4000vx000-520.html,"10,800

",4TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/1/5/15_5_1.jpg,4TB,"Model - Seagate Skyhawk ST4000VX007 / ST4000VX000-520
 Storage (GB) - 4TB
 Type - SATA Surveillance HDD
 RPM - 5900RPM
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - ST4000VX007 / ST4000VX000-520
 Warranty - 2 Year"
Seagate IronWolf 4TB 3.5 Inch SATA 5900RPM NAS HDD #ST4000VN008,Seagate IronWolf ST4000VN008,https://ryanscomputers.com/storage/internal-hdd/seagate-ironwolf-4tb-3-5-inch-sata-5900rpm-nas-hdd-st4000vn008.html,"12,700

",4TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st4000vn008.jpg,4TB,"Model - Seagate IronWolf ST4000VN008
 Storage (GB) - 4TB
 Type - SATA NAS HDD
 RPM - 5900RPM
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6.0Gb/s
 Transfer Rate (MB/s) - 180MB/s
 Part No - ST4000VN008
 Warranty - 2 year"
Toshiba MD04ACA500 5TB SATA 7200RPM 3.5 Inch HDD (Desktop),Toshiba MD04ACA500 5TB,https://ryanscomputers.com/storage/internal-hdd/toshiba-md04aca500-5tb-sata-7200rpm-3-5-inch-hdd-desktop.html,"14,500

",5TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/m/d/md04aca500.jpg,5TB,"Model - Toshiba MD04ACA500 5TB
 Storage (GB) - 5TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 Seek Time (ms) - 10.5ms
 From Factor (Inch) - 3.5 Inch
 Interface - Serial ATA 3.0 (SATA)
 Transfer Rate (MB/s) - Up to 6Gb/s
 Warranty - 2 year"
Toshiba 6TB 3.5 Inch SATA 7200RPM Desktop HDD #HDWR160UZSVA,Toshiba HDWR160UZSVA,https://ryanscomputers.com/toshiba-6tb-3-5-inch-sata-7200rpm-desktop-hdd-hdwr160uzsva.html,"16,200

",6TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwr160uzsva-01.jpg,6TB,"Model - Toshiba HDWR160UZSVA
 Storage (GB) - 6TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 From Factor (Inch) - 3.5 Inch
 Part No - HDWR160UZSVA
 Warranty - 2 Year"
Western Digital Purple 6TB 3.5 Inch SATA 5400RPM Surveillance #WD60PURZ/WD60EJRX,Western Digital Purple Surveillance,https://ryanscomputers.com/western-digital-purple-6tb-3-5-inch-sata-5400rpm-surveillance-wd60purz-wd60ejrx.html,"16,500

",6TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd60purz.jpg,6TB,"Model - Western Digital Purple Surveillance
 Storage (GB) - 6TB
 Type - SATA Purple HDD Surveillance
 RPM - 5400RPM
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Transfer Rate (MB/s) - 175MB/s
 Others - Advanced Format (AF): Yes
 RoHS Compliant: Yes
 Tarnish resistant components: Yes
 Load/unload cycles: 300
000
 Weight: 0.75Kg
 Part No - WD60PURZ/WD60EJRX
 Warranty - 3 year"
Seagate Skyhawk 6TB 3.5 Inch SATA 7200RPM Surveillance HDD #ST6000VX0003-520,Seagate Skyhawk ST6000VX0003-520,https://ryanscomputers.com/storage/internal-hdd/seagate-skyhawk-6tb-3-5-inch-sata-7200rpm-surveillance-hdd-st6000vx0003-520.html,"17,000

",6TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/t/b/tb2inh2x9bjpufjssplxxa5mvxa__64447893.jpg,6TB,"Model - Seagate Skyhawk ST6000VX0003-520
 Storage (GB) - 6TB
 Type - SATA Surveillance Skyhawk HDD
 RPM - 7200RPM
 Buffer (MB) - 128MB
 From Factor (Inch) - 3.5 Inch
 Part No - ST6000VX0003-520
 Warranty - 2 year"
Seagate SkyHawk 8TB 3.5 Inch SATA Surveillance HDD #ST8000VX0002,Seagate SkyHawk,https://ryanscomputers.com/seagate-skyhawk-8tb-3-5-inch-sata-surveillance-hdd-st8000vx0002.html,"22,200

",8TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st8000vx0002.jpg,8TB HDD,"Model - Seagate SkyHawk
 Storage (GB) - 8TB HDD
 Type - SATA Surveillance HDD
 Buffer (MB) - 256MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Transfer Rate (MB/s) - 230MB/s
 Others - MTBF: 1
000
000hr
 Load/Unload Cycles: 300
000
 Weight: 780gm
 Part No - ST8000VX0002
 Warranty - 2 year"
Western Digital Purple 8TB 3.5 Inch SATA 5400RPM Surveillance HDD #WD81PURZ,Western Digital Purple Surveillance,https://ryanscomputers.com/western-digital-purple-8tb-3-5-inch-sata-5400rpm-surveillance-hdd-wd81purz.html,"24,000

",8TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd81purz.jpg,8TB,"Model - Western Digital Purple Surveillance
 Storage (GB) - 8TB
 Type - SATA Internal HDD
 RPM - 5400RPM
 Buffer (MB) - 256MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Transfer Rate (MB/s) - 213MB/s
 Others - Colour: Purple
 DIMENSIONS (L x W x H): 147.0 x 101.6 x 26.1mm
 WEIGHT: 715gm
 Specialty - Surveillance
 Part No - WD81PURZ
 Warranty - 2 year"
Western Digital Purple 10TB 3.5 Inch SATA 5400RPM Surveillance HDD #WD100PURZ,Western Digital Purple Surveillance,https://ryanscomputers.com/western-digital-purple-10tb-3-5-inch-sata-5400rpm-surveillance-hdd-wd100purz.html,"33,000

",10TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd100purz.jpg,10TB HDD,"Model - Western Digital Purple Surveillance
 Storage (GB) - 10TB HDD
 Type - SATA Surveillance HDD
 RPM - 5400RPM
 Buffer (MB) - 256MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Transfer Rate (MB/s) - 210MB/s
 Part No - WD100PURZ
 Warranty - 3 year"
Seagate IronWolf 12TB 3.5 Inch SATA 7200RPM NAS HDD #ST12000VN0007,Seagate IronWolf,https://ryanscomputers.com/seagate-ironwolf-12tb-3-5-inch-sata-7200rpm-nas-hdd-st12000vn0007.html,"43,000

",12TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st12000vn0007-1.jpg,12TB,"Model - Seagate IronWolf
 Storage (GB) - 12TB
 Type - NAS HDD
 RPM - 7200RPM
 Buffer (MB) - 256MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Transfer Rate (MB/s) - 210MB/s
 Others - Drive Bays Supported: 1-8 Bays
 Rotational Vibration (RV) Sensor: Yes
 Dual-Plane Balance: Yes
 Error Recovery Control: Yes
 Load/Unload Cycles: 600
000
 Power-On Hours: 8760
 MTBF: 1
000
000
 Dimension: 101.85 x 26.11 x 146.99mm
 Weight: 705gm
 Specialty - Optimized for NAS with AgileArray
 Actively protect NAS with IronWolf Health Management
 High performance means no lag time
 Rotational Vibration (RV) sensors

 Part No - ST12000VN0007
 Warranty - 2 year"
