product_name,link,startech_rice,brand
Corsair Vengeance RGB Pro 16GB DDR4 3200MHz Ram,https://www.startech.com.bd/corsair-vengeance-rgb-pro-16gb-ram,"10,900",Corsair
GeIL EVO X DDR4-2400MHz 8GB RGB Desktop RAM (Black HS),https://www.startech.com.bd/geil-evo-x-ddr4-8gb-rgb,"8,500",GeIL
TwinMOS 4GB DDR3 1333MHz Ram,https://www.startech.com.bd/twinmos-4gb-ddr3-1333mhz-ram,"2,300",TwinMOS
Adata Spectrix D40 RGB 8GB DDR4 Desktop Ram,https://www.startech.com.bd/adata-spectrix-d40-ram,"8,600",Adata
GeIL EVO X DDR4-2400 16GB(8GBx2) Dual-Channel Kit RGB RAM,https://www.startech.com.bd/geil-evo-x-ddr4-2400-16gb,"16,800",GeIL
GeIL EVO POTENZA 32GB(16GBx2) DDR4 2400Mhz Dual Channel Ram,https://www.startech.com.bd/geil-evo-potenza-32gb-ddr4-dual-channel-ram,"31,600",GeIL
AVEXIR 4GB DDR4 2400MHz Ram,https://www.startech.com.bd/avexir-4gb-ddr4-2400mhz-ram,"3,700",AVEXIR
Corsair 8 GB DDR4 3200MHZ RGB Ram,https://www.startech.com.bd/corsair-8gb-ddr4-3200mhz-rgb-ram,"6,700",Corsair
Corsair Vengeance LPX 8GB DDR4 DRAM 2666MHz Ram,https://www.startech.com.bd/corsair-vengeance-8gb-ddr4-2666mhz-ram,"8,000",Corsair
Corsair Vengeance® LPX 16GB DDR4 DRAM 2400MHz Ram,https://www.startech.com.bd/corsair-16gb-2400mhz-ram,"9,000",Corsair
Adata 4 GB DDR4 2666 BUS Desktop Ram,https://www.startech.com.bd/adata-4gb-ddr4-2666-ram,"2,500",Adata
GeIL Super Luce DDR4-2400MHz 4GB Desktop RAM (Blue Light),https://www.startech.com.bd/geil-super-luce-ddr4-2400mhz-4gb-blue-light,"2,500",GeIL
